Entidade,Pagina,Titulo,Link,Data,Tema,texto
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,Conselho Consultivo de Regulação,https://www.arsae.mg.gov.br/conselho/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,Revista Regulação em Foco,https://www.arsae.mg.gov.br/revista/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,Normas,https://www.arsae.mg.gov.br/legislacao-setorial/#,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,Resoluções,https://www.arsae.mg.gov.br/resolucoes-2/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,Legislação Setorial,https://www.arsae.mg.gov.br/legislacao-setorial/,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Decreto nº 7.217, de 21 de junho de 2010",https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/Decreto/D7217.htm,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Decreto nº 10.430, de 20 de julho de 2020",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2020/decreto/d10430.htm,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Decreto nº 11.599, de 12 de julho de 2023",https://www.planalto.gov.br/CCIVIL_03/_Ato2023-2026/2023/Decreto/D11599.htm,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Decreto nº 11.598, de 12 de julho de 2023",https://www.planalto.gov.br/ccivil_03/_Ato2023-2026/2023/Decreto/D11598.htm,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Decreto Estadual nº 47.884, de 13 de março de 2020",https://www.almg.gov.br/legislacao-mineira/DEC/47884/2020,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução Conjunta SEMAD/ARSAE/FEAM/IEF/IGAM nº 2.953, de 24 de março de 2020",https://www.siam.mg.gov.br/sla/download.pdf?idNorma=51447,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,Decreto 6.017 de 17 de janeiro de 2007,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6017.htm,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Decreto nº 5.440, de 4 de maio de 2005",https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5440.htm,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Resolução Conama nº 430, de 13 de maio de 2011",https://www.siam.mg.gov.br/sla/download.pdf?idNorma=17214,,Não Classificado,
ARSAE-MG,https://www.arsae.mg.gov.br/legislacao-setorial/,"Deliberação Normativa nº 96, de 12 de abril de 2006",https://www.siam.mg.gov.br/sla/download.pdf?idNorma=7204,,Não Classificado,
